"RECIPE";"INGREDIENT";"AMOUNT";"CATEGORY"
burger;;;
;minced beef;125;beefSubstitute
;bacon;14;baconSubstitute
;salted butter;4;butterSubstitute
;cheese;28;cheeseSubstitute
;burger bun;60;burgerBunSubstitude
;mayonnaise;2.43;mayonnaiseSubstitute
;tomato;70;slicedVegetableSubstitute
;cucumber;29;slicedVegetableSubstitute
;red onion;28;slicedVegetableSubstitute
;looseleaf lettuce;6;saladSubstitute
rissole;;;
;breadcrumbs;12.5;breadcrumbsSubstitute
;cheese;37.5;cheeseSubstitute
;minced pork;200;porkSubstitute
;salted butter;10;butterSubstitute
;pasta;150;pasta/noodles
;mushroom;225;vegetableSubstitute
;tomato;125;slicedVegetableSubstitute
chicken;;;
;chicken leg;125;chickenSubstitute
;potato;200;potatoSubstitute
;olive oil;14;butterSubstitute